ID;KOD;NAZWA;mlodzi;sredni;starsi;suma
1978;3002083;Wieleń;2130;9085;1613;12828
1979;3002073;Trzcianka;4183;17605;2748;24536
1980;3017042;Ostrów Wielkopolski;3307;13779;2220;19306
1981;3018052;Kraszewice;683;2601;466;3750
1982;3018063;Mikstat;1020;4526;768;6314
1983;3021143;Stęszew;2464;10638;1539;14641
1984;3021011;Luboń;4955;20079;3017;28051
1985;3024083;Wronki;3006;13635;2152;18793
1986;3021033;Buk;2093;8767;1312;12172
1987;3024011;Obrzycko;381;1721;234;2336
1988;3023042;Ostrowite;891;3602;637;5130
1989;3023062;Słupca;1666;6592;1148;9406
1990;3027082;Turek;1778;6672;984;9434
1991;3023011;Słupca;1799;9583;1521;12903
1992;3027022;Brudzew;1048;4155;787;5990
1993;3026033;Książ Wielkopolski;1527;5933;808;8268
1994;3023022;Lądek;905;4050;812;5767
1995;2602023;Jędrzejów;4348;20927;4192;29467
1996;2602072;Słupia (Jędrzejowska);682;2968;769;4419
1997;2603033;Kazimierza Wielka;2162;11674;2751;16587
1998;2605072;Smyków;691;2585;502;3778
1999;2607011;Ostrowiec Świętokrzyski;9173;52596;10643;72412
2000;2606062;Sadowie;603;2898;711;4212
2001;2610032;Łączna;840;3523;679;5042
2002;2610022;Bliżyn;1118;5934;1360;8412
2003;2804093;Tolkmicko;1156;4865;807;6828
2004;2804042;Markusy;916;3005;419;4340
2005;2808062;Srokowo;625;2997;504;4126
2006;2005073;Kleszczele;287;1693;825;2805
2007;1215082;Zawoja;1656;6078;1185;8919
2008;1211082;Łapsze Niżne;1743;6785;1144;9672
2009;261011;Jelenia Góra;9834;59520;13482;82836
2010;221053;Głuszyca;1241;6790;1331;9362
2011;418052;Choceń;1286;5698;1064;8048
2012;620092;Sitno;1072;4890;915;6877
2013;1218062;Spytkowice;1729;7212;1273;10214
2014;1434093;Radzymin;4308;15893;2220;22421
2015;1411042;Krasnosielc;1203;4378;986;6567
2016;1461011;Ostrołęka;7873;38726;5487;52086
2017;1807083;Rymanów;2568;11013;2191;15772
2018;1807102;Jaśliska;452;1556;322;2330
2019;2202032;Chojnice;3645;12421;1726;17792
2020;3262011;Szczecin;51559;290592;61100;403251
2021;2210011;Krynica Morska;209;978;167;1354
2022;1006073;Koluszki;3467;16883;3299;23649
2023;207033;Lubawka;1737;8374;1452;11563
2024;2014052;Zambrów;1995;7947;1776;11718
2025;3061011;Kalisz;14905;74529;15961;105395
2026;2603043;Opatowiec;447;2410;649;3506
2027;3022042;Pakosław;914;3232;505;4651
2028;3022053;Rawicz;4938;21641;3552;30131
2029;2401042;Bobrowniki;1701;9419;2205;13325
2030;2612033;Oleśnica;612;2766;638;4016
2031;1413082;Szydłowo;821;3383;680;4884
2032;1416052;Małkinia Górna;1913;8579;1611;12103
2033;1409063;Solec nad Wisłą;688;3650;1017;5355
2034;1861011;Krosno;6780;34497;6671;47948
2035;1405032;Baranów;822;3495;668;4985
2036;1405052;Jaktorów;1862;7759;1294;10915
2037;1406032;Chynów;1594;6805;1244;9643
2038;1211123;Rabka-Zdrój;2833;12174;2591;17598
2039;206072;Mysłakowice;1588;7810;1291;10689
2040;3215023;Barwice;1522;6490;952;8964
2041;619032;Hańsk;703;2696;461;3860
2042;619042;Stary Brus;341;1475;334;2150
2043;2213112;Smętowo Graniczne;989;3923;564;5476
2044;2214011;Tczew;9762;43515;7501;60778
2045;1412042;Cegłów;909;4249;1100;6258
2046;1412052;Dębe Wielkie;1587;6086;1017;8690
2047;1412082;Jakubów;902;3489;745;5136
2048;1412112;Mińsk Mazowiecki;3211;13105;2026;18342
2049;1412132;Siennica;1197;5111;1063;7371
2050;1811032;Czermin;1283;4753;870;6906
2051;1216042;Pleśna;2201;8240;1544;11985
2052;1216032;Lisia Góra;2739;9926;1549;14214
2053;410013;Kcynia;2351;9800;1560;13711
2054;410033;Nakło nad Notecią;5477;23623;3615;32715
2055;412042;Rypin;1481;5630;1007;8118
2056;412052;Skrwilno;1134;4346;929;6409
2057;3216011;Świdwin;2445;11946;1821;16212
2058;3216022;Brzeżno;514;2169;323;3006
2059;3217011;Wałcz;3826;19567;3189;26582
2060;620032;Komarów-Osada;813;3606;1007;5426
2061;2216032;Stary Dzierzgoń;805;3091;457;4353
2062;1414052;Pomiechówek;1716;7723;1433;10872
2063;1436022;Policzna;855;4059;944;5858
2064;1409022;Ciepielów;937;3839;926;5702
2065;1812073;Ulanów;1326;5938;1173;8437
2066;1216143;Zakliczyn;2262;8446;1591;12299
2067;1216162;Szerzyny;1463;5290;1207;7960
2068;1217052;Poronin;2059;7553;1157;10769
2069;209011;Chojnów;1887;10688;1856;14431
2070;209032;Krotoszyce;577;2500;360;3437
2071;414072;Osie;1018;3906;617;5541
2072;3218023;Łobez;2213;10425;1807;14445
2073;1001011;Bełchatów;8558;47688;4283;60529
2074;1001072;Szczerców;1316;5574;1045;7935
2075;1434031;Ząbki;5060;17705;2648;25413
2076;1434052;Dąbrówka;1446;5309;883;7638
2077;1434072;Klembów;1697;6378;1093;9168
2078;1434123;Wołomin;8310;36219;6095;50624
2079;1813012;Bircza;1154;4599;933;6686
2080;1814032;Gać;800;3058;675;4533
2081;1218022;Brzeźnica;1701;6809;1285;9795
2082;605012;Batorz;572;2244;674;3490
2083;605053;Janów Lubelski;2530;11977;1949;16456
2084;605072;Potok Wielki;857;3358;778;4993
2085;805043;Rzepin;1675;7225;1067;9967
2086;1009082;Sulmierzyce;671;3138;746;4555
2087;1009022;Kiełczygłów;618;2957;786;4361
2088;1009043;Pajęczno;1792;8336;1612;11740
