ID;KOD;NAZWA;mlodzi;sredni;starsi;suma
2089;1009032;Nowa Brzeźnica;695;3443;775;4913
2090;1420032;Baboszewo;1462;5544;1071;8077
2091;1421052;Nadarzyn;2429;8662;1202;12293
2092;1421042;Michałowice;3012;11876;2065;16953
2093;1821012;Baligród;502;2223;459;3184
2094;2004053;Szczuczyn;1066;4531;883;6480
2095;2006011;Kolno;1502;8092;1120;10714
2096;219063;Strzegom;3845;19850;3440;27135
2097;606042;Izbica;1259;5944;1639;8842
2098;606072;Łopiennik Górny;594;2714;874;4182
2099;807023;Lubniewice;420;2338;361;3119
2100;808012;Lubrza;609;2525;376;3510
2101;1609073;Niemodlin;2093;9936;1578;13607
2102;1201032;Drwinia;1299;5310;978;7587
2103;220063;Żmigród;2423;10926;1724;15073
2104;222022;Wińsko;1354;6154;1242;8750
2105;809072;Świdnica;1013;4520;640;6173
2106;1012011;Radomsko;6463;33796;7098;47357
2107;1012092;Ładzice;850;3419;700;4969
2108;1425082;Pionki;2013;8528;1785;12326
2109;1201082;Trzciana;1014;3512;642;5168
2110;1201092;Żegocina;969;3478;561;5008
2111;1203043;Libiąż;3278;16575;2769;22622
2112;2008013;Goniądz;843;3532;880;5255
2113;2008052;Krypno;678;2649;649;3976
2114;2010032;Dziadkowice;491;1955;532;2978
2115;609042;Garbów;1516;6367;1258;9141
2116;810021;Żagań;3801;19529;3258;26588
2117;2201072;Parchowo;727;2480;326;3533
2118;2201063;Miastko;3316;14574;2152;20042
2119;1013062;Sadkowice;941;3910;1021;5872
2120;1426072;Przesmyki;562;2308;735;3605
2121;3006032;Kotlin;1277;5186;804;7267
2122;3003011;Gniezno;10356;49827;8899;69082
2123;3010043;Kleczew;1629;6718;1076;9423
2124;3008052;Perzów;609;2719;469;3797
2125;3008033;Kępno;3920;17685;2929;24534
2126;3005012;Granowo;919;3536;514;4969
2127;2475011;Sosnowiec;24740;155939;31292;211971
2128;3011023;Czempiń;1946;8526;1252;11724
2129;2407062;Koszęcin;1907;8697;1606;12210
2130;2406092;Wręczyca Wielka;2722;12446;2495;17663
2131;2408021;Mikołów;5847;28125;5364;39336
2132;2405073;Toszek;1323;6678;1366;9367
2133;2412022;Gaszowice;1633;7177;1315;10125
2134;2410053;Pszczyna;8527;36362;6258;51147
2135;2410032;Miedźna;2639;12112;1051;15802
2136;2411062;Nędza;947;5297;1056;7300
2137;2413062;Ożarowice;822;4017;866;5705
2138;2415021;Radlin;2831;13621;2404;18856
2139;2416053;Łazy;2133;11970;2611;16714
2140;2417152;Węgierska Górka;2545;10490;1894;14929
2141;2416042;Kroczyce;995;4360;901;6256
2142;1432022;Izabelin;1851;7643;1330;10824
2143;1432063;Ożarów Mazowiecki;3479;16028;2967;22474
2144;1433042;Liw;1197;5195;1108;7500
2145;1805022;Brzyska;1050;4212;790;6052
2146;1805053;Kołaczyce;1666;6617;1159;9442
2147;1208072;Słaboszów;560;2432;692;3684
2148;406052;Rogóźno;803;2912;446;4161
2149;1204062;Radgoszcz;1395;5042;979;7416
2150;224053;Ząbkowice Śląskie;3072;16701;3345;23118
2151;3204062;Przybiernów;921;3868;579;5368
2152;3203033;Kalisz Pomorski;1275;5289;768;7332
2153;610052;Puchaczów;937;3458;679;5074
2154;611082;Stoczek Łukowski;1356;5366;1489;8211
2155;2203052;Koczała;559;2571;395;3525
2156;1427052;Sierpc;1238;4779;926;6943
2157;1427042;Rościszewo;710;2882;649;4241
2158;1429062;Repki;843;3745;1092;5680
2159;1429042;Jabłonna Lacka;688;3302;994;4984
2160;1601011;Brzeg;5226;26918;5479;37623
2161;1206012;Czernichów;2191;9490;1655;13336
2162;1206052;Kocmyrzów-Luborzyca;2444;10491;1793;14728
2163;1206092;Mogilany;2279;8819;1352;12450
2164;2012012;Bakałarzewo;503;2101;451;3055
2165;2012042;Przerośl;540;2080;490;3110
2166;2012092;Wiżajny;421;1678;378;2477
2167;2013082;Sokoły;898;4085;990;5973
2168;401062;Koneck;589;2330;500;3419
2169;402092;Świedziebnia;953;3605;658;5216
2170;402082;Osiek;751;2779;558;4088
2171;612063;Poniatowa;2192;10716;1985;14893
2172;612042;Łaziska;862;3623;914;5399
2173;612032;Karczmiska;886;4189;991;6066
2174;612053;Opole Lubelskie;2769;12436;2505;17710
2175;2205052;Somonino;2173;6517;824;9514
2176;2205032;Przodkowo;1808;5339;687;7834
2177;1017012;Biała;900;3739;776;5415
2178;1430022;Jastrząb;885;3384;653;4922
2179;1803072;Żyraków;2452;9365;1635;13452
2180;1206143;Świątniki Górne;1566;6415;945;8926
2181;1207072;Limanowa;5164;16533;2597;24294
2182;2013102;Wysokie Mazowieckie;940;3635;914;5489
2183;403032;Dobrcz;1887;7265;1051;10203
2184;405011;Golub-Dobrzyń;2006;9065;1329;12400
2185;3206012;Banie;1146;4794;689;6629
2186;1604013;Byczyna;1528;6854;1204;9586
2187;3005043;Rakoniewice;2560;9263;1194;13017
2188;1604043;Wołczyn;2118;10297;1887;14302
2189;2202011;Chojnice;6524;29006;4683;40213
2190;203022;Głogów;2367;11453;1177;14997
2191;2808022;Barciany;1101;4809;851;6761
2192;2417142;Ujsoły;738;3268;797;4803
2193;211011;Lubin;10447;55845;9043;75335
2194;212053;Wleń;561;3296;548;4405
2195;414093;Świecie;5398;24994;3812;34204
2196;415022;Chełmża;1715;6722;1087;9524
2197;601092;Łomazy;879;3409;928;5216
2198;1002072;Łanięta;435;1755;363;2553
2199;1002102;Strzelce;600;2801;600;4001
2200;1003042;Widawa;1040;5106;1418;7564
2201;1003032;Sędziejowice;957;4354;952;6263
2202;1003052;Wodzierady;470;2232;495;3197
2203;1004042;Grabów;898;4436;1083;6417
2204;1416062;Nur;399;1796;667;2862
2205;1417043;Karczew;1868;8832;1623;12323
2206;1437063;Żuromin;2338;10599;1850;14787
2207;1816011;Dynów;923;4158;782;5863
2208;1816023;Błażowa;1716;7338;1719;10773
2209;1219032;Kłaj;1813;7642;1268;10723
2210;2001022;Augustów;1256;4598;929;6783
2211;417032;Książki;734;3081;507;4322
2212;417042;Płużnica;857;3535;571;4963
2213;418043;Brześć Kujawski;1825;8357;1503;11685
2214;602112;Potok Górny;819;3845;912;5576
2215;802042;Dąbie;832;3665;472;4969
2216;802063;Krosno Odrzańskie;2729;13569;1995;18293
2217;1438011;Żyrardów;6067;28537;5614;40218
2218;1463011;Radom;32262;159128;30955;222345
2219;1816082;Kamień;1204;4465;876;6545
2220;214083;Twardogóra;2009;9568;1357;12934
2221;2207043;Prabuty;2425;9602;1437;13464
2222;215022;Domaniów;945;3781;612;5338
2223;215011;Oława;4662;22913;4443;32018
2224;418083;Izbica Kujawska;1373;5536;1060;7969
2225;2468011;Jaworzno;12577;68673;13372;94622
2226;603062;Kamień;711;2967;508;4186
2227;603082;Rejowiec Fabryczny;679;3091;741;4511
2228;604032;Horodło;782;3714;969;5465
2229;803063;Trzciel;1055;4741;761;6557
2230;804032;Kolsko;553;2299;346;3198
2231;804052;Nowa Sól;1307;5829;797;7933
2232;1007062;Poświętne;526;2153;618;3297
2233;1419112;Słubice;767;3116;661;4544
2234;1603022;Bierawa;990;5464;1239;7693
2235;1605023;Krapkowice;3128;17302;3331;23761
2236;1606012;Domaszowice;614;2646;447;3707
2237;1817073;Zagórz;2182;9576;1599;13357
2238;1818032;Pysznica;1631;7476;1296;10403
2239;2003052;Brańsk;1012;4111;1403;6526
2240;2003082;Wyszki;745;2945;1112;4802
2241;2004062;Wąsosz;742;2603;637;3982
2242;216032;Grębocice;936;3823;617;5376
2243;216022;Gaworzyce;694;2812;428;3934
2244;404022;Chełmno;1074;3878;558;5510
2245;2402072;Kozy;1927;8589;1624;12140
2246;2401052;Mierzęcice;975;5072;1056;7103
2247;3210013;Barlinek;3054;14581;2141;19776
2248;615062;Radzyń Podlaski;1542;5789;1136;8467
2249;2210023;Nowy Dwór Gdański;3054;13044;1923;18021
2250;2211031;Puck;1377;5915;1004;8296
2251;2211072;Puck;5554;18611;2619;26784
2252;1020083;Stryków;1852;8837;1688;12377
2253;1403021;Łaskarzew;830;3696;520;5046
2254;1403052;Górzno;1141;4268;808;6217
2255;1403132;Wilga;876;3626;838;5340
2256;1808011;Leżajsk;2136;10771;1684;14591
2257;203032;Jerzmanowa;884;2950;352;4186
2258;204013;Góra;3464;15099;2466;21029
2259;3212012;Bielice;606;2292;331;3229
2260;3212062;Warnice;562;2601;415;3578
2261;3213052;Postomino;1312;5068;665;7045
2262;2212022;Damnica;1141;4578;588;6307
2263;2212082;Słupsk;2867;11794;1284;15945
2264;2213021;Skórcz;690;2608;327;3625
2265;2213102;Skórcz;903;3317;467;4687
2266;2811043;Nidzica;3454;15855;2399;21708
2267;2814082;Kolno;508;2261;425;3194
2268;2811012;Janowiec Kościelny;591;2242;468;3301
2269;2817052;Rozogi;1115;4089;615;5819
2270;2816023;Orzysz;1846;7438;1256;10540
2271;2815073;Miłomłyn;838;3643;620;5101
2272;2817072;Świętajno;1060;4373;707;6140
2273;2814122;Świątki;777;2963;451;4191
2274;3002052;Lubasz;1494;6078;832;8404
2275;3017072;Sieroszewice;1601;6767;1114;9482
2276;3018033;Grabów nad Prosną;1369;5515;1013;7897
2277;3024063;Pniewy;2209;9193;1244;12646
2278;3021113;Murowana Goślina;2684;12514;1237;16435
2279;3021042;Czerwonak;4354;19108;1932;25394
2280;3021072;Komorniki;4158;14146;1554;19858
2281;3021093;Kórnik;4126;14993;1935;21054
2282;3022013;Bojanowo;1544;6313;1026;8883
2283;3027052;Malanów;1193;4426;744;6363
2284;3027033;Dobra;1078;4559;1009;6646
2285;3027092;Władysławów;1511;5732;871;8114
2286;2603022;Czarnocin;508;2636;725;3869
2287;2604142;Piekoszów;2770;11257;1720;15747
2288;2612053;Połaniec;1866;9066;1061;11993
2289;2609043;Koprzywnica;1046;4851;1110;7007
2290;2609022;Dwikozy;1256;6305;1400;8961
2291;2609093;Zawichost;649;3191;783;4623
2292;2804012;Elbląg;1319;5311;622;7252
2293;2613063;Włoszczowa;3008;14533;2797;20338
2294;2809011;Lidzbark Warmiński;2145;10642;2078;14865
2295;2807043;Kisielice;1117;4486;624;6227
2296;2011062;Nowy Dwór;393;1825;605;2823
2297;1610043;Prudnik;3788;18810;4161;26759
2298;1610032;Lubrza;845;4657;733;6235
2299;1607063;Otmuchów;2205;10666;1941;14812
2300;1607013;Głuchołazy;3381;18128;3701;25210
2301;1217032;Bukowina Tatrzańska;2207;8363;1494;12064
2302;1210113;Muszyna;2139;8012;1289;11440
2303;605063;Modliborzyce;1152;4871;1170;7193
2304;603153;Rejowiec;1004;4654;1027;6685
2305;225052;Sulików;1137;5112;737;6986
2306;210062;Platerówka;277;1246;191;1714
2307;208031;Kudowa-Zdrój;1310;6926;1452;9688
2308;2605043;Radoszyce;1489;6533;1362;9384
2309;3007083;Opatówek;1720;7541;1432;10693
2310;1408032;Nieporęt;2787;10002;1283;14072
2311;2479011;Żory;9848;46878;5262;61988
2312;2818033;Gołdap;3559;14580;2109;20248
2313;3204023;Goleniów;5689;25547;3768;35004
2314;2208021;Łeba;465;2598;486;3549
2315;1006022;Andrespol;1899;8731;1601;12231
2316;3203023;Drawsko Pomorskie;2736;13033;2069;17838
2317;206021;Kowary;1612;8595;1608;11815
2318;1008062;Lutomiersk;1248;5590;1165;8003
2319;1007032;Mniszków;792;3227;751;4770
2320;2007043;Nowogród;717;2852;558;4127
2321;1416082;Stary Lubotyń;680;2528;644;3852
2322;3017023;Nowe Skalmierzyce;2577;11321;1827;15725
2323;2202043;Czersk;4006;15120;2485;21611
2324;2815092;Ostróda;2836;11352;1606;15794
2325;2612022;Łubnice;664;2803;793;4260
2326;1407062;Magnuszew;1164;4730;921;6815
2327;3207043;Międzyzdroje;938;5244;871;7053
2328;2609033;Klimontów;1466;5956;1342;8764
2329;1420113;Sochocin;959;4234;828;6021
2330;1863011;Rzeszów;25694;132639;23844;182177
2331;2604172;Nowiny;1295;5642;915;7852
2332;1404052;Szczawin Kościelny;770;3583;750;5103
2333;1211092;Nowy Targ;4482;16042;2591;23115
2334;1212032;Bolesław;1221;6038;1380;8639
2335;1215052;Jordanów;2049;7155;1237;10441
2336;207042;Marciszów;732;3391;570;4693
2337;409012;Dąbrowa;841;3425;532;4798
2338;411062;Radziejów;718;3209;643;4570
2339;3214042;Dolice;1462;5883;892;8237
2340;3215011;Szczecinek;5725;29763;5185;40673
2341;3215033;Biały Bór;824;3928;615;5367
2342;619072;Wola Uhruska;578;2926;642;4146
2343;2214023;Gniew;2703;11128;1821;15652
2344;2214032;Morzeszczyn;771;2768;317;3856
2345;1406062;Jasieniec;913;3724;783;5420
2346;1406073;Mogielnica;1346;6282;1516;9144
2347;1407053;Kozienice;4427;22828;3522;30777
2348;1811052;Mielec;1950;7643;1455;11048
2349;1811022;Borowa;1023;4021;799;5843
2350;1811062;Padew Narodowa;866;3687;758;5311
2351;1213062;Oświęcim;3246;14791;2807;20844
2352;1216053;Radłów;1601;7159;1484;10244
2353;208041;Nowa Ruda;2948;16963;3940;23851
2354;412011;Rypin;2496;11752;1886;16134
2355;620043;Krasnobród;1213;4832;1134;7179
2356;620022;Grabowiec;646;2932;923;4501
2357;2215072;Luzino;3381;9798;1012;14191
2358;1413022;Dzierzgowo;547;2255;555;3357
2359;1414011;Nowy Dwór Mazowiecki;4055;19122;3107;26284
2360;1414022;Czosnów;1600;6682;1157;9439
2361;1436042;Tczów;897;3336;609;4842
2362;1408022;Jabłonna;4131;14654;1625;20410
2363;1216092;Tarnów;4277;17577;2965;24819
2364;209073;Prochowice;1223;5559;801;7583
2365;413032;Sośno;918;3627;575;5120
2366;413023;Sępólno Krajeńskie;2742;11342;1928;16012
2367;414042;Jeżewo;1386;5582;836;7804
2368;3261011;Koszalin;13886;79597;15914;109397
2369;811043;Jasień;1132;5310;869;7311
2370;1434082;Poświętne;1087;4228;696;6011
2371;1813042;Krasiczyn;888;3491;553;4932
2372;1814011;Przeworsk;2473;11666;2017;16156
2373;1218072;Stryszów;1234;4953;910;7097
2374;2401073;Siewierz;1631;8523;1748;11902
2375;805022;Górzyca;790;3020;452;4262
2376;1008011;Konstantynów Łódzki;2265;12682;2594;17541
2377;1420011;Płońsk;3357;16363;2571;22291
2378;1820013;Baranów Sandomierski;1982;8449;1706;12137
2379;1820032;Grębów;1568;6211;1284;9063
2380;1821042;Olszanica;804;3629;679;5112
2381;2403052;Chybie;1609;6600;1077;9286
2382;607032;Dzierzkowice;878;3820;877;5575
2383;607072;Trzydnik Duży;1092;4779;1193;7064
2384;1010072;Ręczno;537;2386;573;3496
2385;1422032;Czernice Borowe;604;2730;603;3937
2386;1422062;Krzynowłoga Mała;660;2485;502;3647
2387;1608023;Gorzów Śląski;1080;5567;1147;7794
2388;221082;Walim;834;4344;820;5998
2389;221072;Stare Bogaczowice;628;3148;500;4276
2390;2404102;Mstów;1682;7643;1342;10667
2391;2404082;Kruszyna;747;3477;677;4901
2392;2404072;Konopiska;1488;7488;1506;10482
2393;2404132;Poczesna;1867;9509;1829;13205
2394;608072;Lubartów;2400;9458;1491;13349
2395;809082;Trzebiechów;577;2373;392;3342
2396;810092;Żagań;1254;5235;726;7215
2397;1012032;Gidle;897;4501;1081;6479
2398;1425011;Pionki;2288;13270;2174;17732
2399;2008072;Trzcianne;709;3044;859;4612
2400;223012;Czernica;2193;8111;1051;11355
2401;223043;Kąty Wrocławskie;3743;15215;2265;21223
2402;223083;Siechnice;2744;12189;1711;16644
2403;223092;Żórawina;1505;6869;953;9327
2404;224022;Ciepłowody;484;2373;410;3267
2405;3201022;Białogard;1465;6279;878;8622
2406;3201043;Tychowo;1135;4742;697;6574
2407;609092;Krzczonów;662;3030;992;4684
2408;609162;Zakrzew;447;1998;695;3140
2409;810032;Brzeźnica;687;2817;409;3913
2410;1014062;Goszczanów;983;3792;925;5700
2411;1426042;Mokobody;906;3549;838;5293
2412;3004023;Gostyń;4245;19837;3283;27365
2413;3007012;Blizanów;1607;6872;1176;9655
2414;3007112;Żelazków;1501;6505;1115;9121
2415;3008022;Bralin;1099;4232;678;6009
2416;3012043;Krotoszyn;6598;29091;4921;40610
2417;2406032;Lipie;946;4516;959;6421
2418;2407083;Woźniki;1520;6915;1331;9766
2419;2405011;Knurów;5334;24862;4540;34736
2420;2408052;Wyry;1296;5205;916;7417
2421;2410062;Suszec;2139;8151;1114;11404
2422;2409011;Myszków;4367;23563;4521;32451
2423;2409042;Poraj;1470;7498;1740;10708
2424;2413052;Krupski Młyn;442;2019;466;2927
2425;2409032;Niegowa;895;3920;789;5604
2426;1433011;Węgrów;1964;9483;1459;12906
2427;1806023;Kolbuszowa;4077;17909;3185;25171
2428;1806042;Niwiska;1161;4150;793;6104
2429;1805011;Jasło;5025;25598;4949;35572
2430;1805032;Dębowiec;1480;6036;1182;8698
2431;1208053;Miechów;2841;13986;3136;19963
2432;1209022;Lubień;1944;6554;1096;9594
2433;1209033;Myślenice;7572;29950;5095;42617
2434;405062;Zbójno;783;2999;644;4426
2435;407011;Inowrocław;9693;53705;9463;72861
2436;3206092;Widuchowa;890;3768;584;5242
2437;3209033;Bobolice;1594;7120;1080;9794
2438;613052;Podedwórze;246;1189;367;1802
2439;1601052;Lubsza;1381;6494;1134;9009
2440;1601062;Olszanka;810;3533;665;5008
2441;1204052;Olesno;1261;5593;998;7852
2442;224063;Ziębice;2597;13337;2706;18640
2443;401011;Aleksandrów Kujawski;1027;4655;872;6554
2444;3204033;Maszewo;1614;6148;856;8618
2445;609152;Wysokie;703;3006;1055;4764
2446;610033;Łęczna;3716;19554;1527;24797
2447;2203011;Człuchów;2122;10907;1651;14680
2448;1427032;Mochowo;1162;4251;790;6203
2449;1802022;Domaradz;1133;4327;947;6407
2450;1802042;Haczów;1675;6524;1244;9443
2451;1803032;Czarna;2235;8945;1612;12792
2452;1206172;Zielonki;3131;12315;2003;17449
2453;2012022;Filipów;829;3191;658;4678
2454;3205012;Brojce;712;2782;368;3862
2455;613022;Jabłoń;621;2792;674;4087
2456;2204032;Kolbudy;2739;9737;984;13460
2457;2204072;Suchy Dąb;737;2933;352;4022
2458;1017052;Osjaków;808;3241;744;4793
2459;1017042;Mokrsko;936;3692;780;5408
2460;1428052;Nowa Sucha;1095;4470;806;6371
2461;1428022;Brochów;695;3014;630;4339
2462;1804011;Jarosław;5507;28754;5343;39604
2463;1804062;Pawłosiów;1351;5865;1027;8243
2464;1207062;Laskowa;1809;5257;914;7980
2465;2013033;Czyżew;1122;4477;963;6562
2466;2013093;Szepietowo;1285;5064;1326;7675
2467;403052;Nowa Wieś Wielka;1734;6907;794;9435
2468;405032;Golub-Dobrzyń;1537;6182;1033;8752
2469;3005053;Wielichowo;1253;4835;653;6741
2470;1604023;Kluczbork;4819;27023;5243;37085
2471;2807073;Zalewo;1208;5024;865;7097
2472;1002092;Oporów;409;1946;435;2790
2473;203052;Pęcław;449;1667;237;2353
2474;205042;Mściwojów;668;2943;576;4187
2475;2806102;Wydminy;1112;4621;883;6616
2476;603113;Siedliszcze;1145;4788;1053;6986
2477;2417042;Jeleśnia;2251;9633;1939;13823
