TERYT;Wojewodztwo;Powiat;pow;typ;TOT;mlodzi;sredni;starsi;Przemysl;DPS;szkoly;X;Y
2461;śląskie;Bielsko-Biała;124;grodzki;174098;23989;123749;26361;11;8;79;502787;216080
262;dolnośląskie;Legnica;56,1;grodzki;103529;14076;75753;13694;10;6;47;301550;374722
406;kujawsko-pomorskie;grudziądzki;725,7;ziemski;40204;7324;28575;4228;5;0;30;494470;622945
222;dolnośląskie;wołowski;672,4;ziemski;48149;6830;34973;6338;9;1;28;333975;392186
415;kujawsko-pomorskie;toruński;1225,5;ziemski;98196;18423;70260;9517;13;4;45;467835;580615
404;kujawsko-pomorskie;chełmiński;524,9;ziemski;52640;8871;37750;6015;8;0;30;466953;604046
2415;śląskie;wodzisławski;286,1;ziemski;157035;23467;111260;22298;25;1;67;458809;236377
1821;podkarpackie;leski;832,2;ziemski;26842;4116;19181;3534;11;1;28;744821;166818
1801;podkarpackie;bieszczadzki;1135,4;ziemski;22503;3658;16329;2525;5;1;19;764665;169629
1610;opolskie;prudnicki;569,4;ziemski;57698;8093;40749;8852;7;0;34;410485;283284
224;dolnośląskie;ząbkowicki;798,8;ziemski;69699;9520;50662;9483;16;1;19;349319;301011
1411;mazowieckie;makowski;1060,3;ziemski;47289;7910;32740;6565;6;0;42;646391;566902
2410;śląskie;pszczyński;469,8;ziemski;107939;18328;78108;11475;17;3;59;491549;235851
2818;warmińsko-mazurskie;gołdapski;769;ziemski;27480;4708;19573;3186;4;0;18;719548;715969
2264;pomorskie;Sopot;17,3;grodzki;31750;3180;21914;6655;2;2;11;470692;730970
1816;podkarpackie;rzeszowski;1143,2;ziemski;160473;27789;111197;21465;10;4;95;724647;227182
206;dolnośląskie;jeleniogórski;624,9;ziemski;66153;9085;48811;8234;10;6;30;272258;329915
219;dolnośląskie;świdnicki;738,8;ziemski;161926;22652;117823;21437;67;1;70;319268;336875
1007;łódzkie;opoczyński;1036,9;ziemski;78804;13232;54580;10982;15;2;60;583069;392452
2203;pomorskie;człuchowski;1568,3;ziemski;56222;9432;40814;5907;4;4;36;380649;655569
3017;wielkopolskie;ostrowski;1155,7;ziemski;160864;25176;115764;19945;14;1;80;420409;416348
3061;wielkopolskie;Kalisz;69,1;grodzki;105393;14905;74529;15961;6;2;41;436234;431618
1413;mazowieckie;mławski;1177;ziemski;74795;12284;52435;10028;21;1;52;592270;577507
801;lubuskie;gorzowski;1209,4;ziemski;69736;11959;50652;7125;13;1;33;235821;548630
1819;podkarpackie;strzyżowski;501,8;ziemski;62019;10276;43010;8717;9;1;32;697462;226919
1412;mazowieckie;miński;1159,1;ziemski;147506;25113;102815;19581;34;6;81;678299;483008
1436;mazowieckie;zwoleński;570,9;ziemski;37651;6201;26041;5412;2;2;31;680453;391429
1437;mazowieckie;żuromiński;803,3;ziemski;40580;6693;27919;5925;15;1;31;559755;572716
609;lubelskie;lubelski;1673,4;ziemski;147705;25169;102346;20117;22;3;84;742444;368759
1214;małopolskie;proszowicki;413,5;ziemski;43916;6855;30556;6502;3;2;36;604257;255036
1219;małopolskie;wielicki;409,2;ziemski;113729;19702;80633;13384;8;0;49;584230;235609
1014;łódzkie;sieradzki;1485,3;ziemski;120528;18626;84913;16986;13;3;77;472520;415246
1021;łódzkie;brzeziński;357,2;ziemski;30814;4613;21809;4385;1;1;11;557190;441926
806;lubuskie;strzelecko-drezdenecki;1242,8;ziemski;50817;8297;36576;5944;7;1;20;274192;566026
808;lubuskie;świebodziński;933;ziemski;56769;9064;41188;6514;8;5;25;260096;491521
1808;podkarpackie;leżajski;581,9;ziemski;70261;11893;49525;8844;7;3;41;744972;271701
1809;podkarpackie;lubaczowski;1303,8;ziemski;57979;9303;40763;7887;7;3;28;797704;267052
3001;wielkopolskie;chodzieski;682,3;ziemski;47861;8030;34504;5280;2;1;26;366719;567114
3014;wielkopolskie;międzychodzki;733,5;ziemski;37133;6312;26796;3973;16;3;16;300795;530296
1604;opolskie;kluczborski;848,7;ziemski;68017;9339;49243;9422;4;6;41;440555;346889
2602;świętokrzyskie;jędrzejowski;1252,4;ziemski;89022;13664;62146;13105;19;2;60;583841;310639
3004;wielkopolskie;gostyński;807,2;ziemski;76496;12677;54661;9113;14;4;37;364638;442989
2603;świętokrzyskie;kazimierski;420,7;ziemski;35513;4782;24543;6160;2;3;32;609195;270117
3007;wielkopolskie;kaliski;1155,6;ziemski;82148;13603;57863;10635;10;2;50;445380;436169
2010;podlaskie;siemiatycki;1453,7;ziemski;48214;7017;32346;8789;1;3;42;763756;520717
2204;pomorskie;gdański;790,4;ziemski;97916;18447;70662;8738;13;2;47;472730;706825
2817;warmińsko-mazurskie;szczycieński;1925;ziemski;71375;12096;51286;7985;23;1;40;637145;632752
3218;zachodniopomorskie;łobeski;1060,6;ziemski;38448;6123;27474;4823;7;1;15;267068;651124
2409;śląskie;myszkowski;477,6;ziemski;71816;10134;51018;10657;6;2;43;524848;304333
214;dolnośląskie;oleśnicki;1045,5;ziemski;105358;16476;76460;12388;11;2;39;396525;377478
217;dolnośląskie;strzeliński;619,7;ziemski;44674;6600;32187;5892;11;0;19;366498;323917
417;kujawsko-pomorskie;wąbrzeski;498,8;ziemski;35166;5905;24912;4346;1;0;19;495101;601914
2808;warmińsko-mazurskie;kętrzyński;1207,7;ziemski;66712;9775;48379;8479;6;0;35;651007;699379
2002;podlaskie;białostocki;2964,3;ziemski;143742;22000;101028;20611;24;9;77;793049;586560
2001;podlaskie;augustowski;1652,3;ziemski;60076;9441;41732;8816;1;0;40;772719;667155
221;dolnośląskie;wałbrzyski;428,7;ziemski;61439;8318;43916;9167;7;4;15;309926;315916
208;dolnośląskie;kłodzki;1637,6;ziemski;167246;22217;120974;23943;34;7;70;330299;282901
2477;śląskie;Tychy;81,5;grodzki;129011;17504;95591;15912;8;5;62;500600;251029
2473;śląskie;Rybnik;147,8;grodzki;138731;20567;100168;17994;17;3;52;467781;249352
1406;mazowieckie;grójecki;1263,5;ziemski;98480;15635;69014;13770;22;2;72;626722;433933
608;lubelskie;lubartowski;1283,8;ziemski;90628;14737;62815;13010;33;2;60;749988;413767
614;lubelskie;puławski;930,3;ziemski;116954;17007;81068;18838;26;0;70;711136;399034
615;lubelskie;radzyński;961,3;ziemski;61410;10408;42276;8640;9;1;46;755637;441634
661;lubelskie;Biała Podlaska;49,2;grodzki;57922;8751;43206;5968;4;0;16;783768;470622
1262;małopolskie;Nowy Sącz;57,4;grodzki;85280;13645;60723;10913;5;3;29;623256;195046
3019;wielkopolskie;pilski;1260,8;ziemski;138491;22537;100487;15407;13;4;84;360613;590085
2013;podlaskie;wysokomazowiecki;1283,7;ziemski;59930;9638;40626;9637;10;1;48;739238;561368
2601;świętokrzyskie;buski;964,5;ziemski;74348;10687;51219;12381;10;6;50;633151;289319
3026;wielkopolskie;śremski;571,9;ziemski;60100;10187;43630;6230;12;2;29;366953;467914
3008;wielkopolskie;kępiński;606,1;ziemski;56333;9480;40332;6488;4;1;28;427384;376272
3027;wielkopolskie;turecki;926,2;ziemski;84895;14013;60114;10737;25;1;47;465207;458964
2606;świętokrzyskie;opatowski;907,6;ziemski;55819;8196;38826;8763;9;4;30;665917;324024
2263;pomorskie;Słupsk;43;grodzki;95507;12726;69398;13388;3;1;47;372223;734748
2608;świętokrzyskie;pińczowski;610,7;ziemski;41472;5788;28636;7075;10;0;27;604400;293557
3209;zachodniopomorskie;koszaliński;1646,3;ziemski;64665;10707;47483;6429;17;8;27;323706;697291
